DrawingNumbers,Powerball,Result,Jackpot,Weekday,Date
"[5, 21, 25, 27, 47]",12,0,50000000,Friday,2019-05-31
"[15, 21, 25, 33, 43]",17,0,41347732,Tuesday,2019-05-28
"[3, 25, 29, 38, 39]",7,0,36910847,Friday,2019-05-24
"[3, 11, 15, 33, 43]",13,0,32713904,Tuesday,2019-05-21
"[9, 19, 29, 31, 46]",17,0,29277726,Friday,2019-05-17
"[15, 18, 34, 44, 46]",16,0,25023233,Tuesday,2019-05-14
"[14, 22, 23, 39, 43]",15,0,21146620,Friday,2019-05-10
"[15, 22, 30, 45, 48]",13,0,16932651,Tuesday,2019-05-07
"[13, 18, 20, 35, 36]",11,0,13108546,Friday,2019-05-03
"[1, 3, 20, 46, 48]",5,0,8643851,Tuesday,2019-04-30
"[13, 16, 19, 43, 49]",13,0,4287535,Friday,2019-04-26
"[10, 35, 37, 46, 48]",9,1,19517312,Tuesday,2019-04-23
"[17, 19, 25, 43, 47]",4,0,15437930,Friday,2019-04-19
"[5, 6, 32, 44, 48]",5,0,10931599,Tuesday,2019-04-16
"[28, 35, 41, 43, 50]",12,0,5534282,Friday,2019-04-12
"[5, 11, 13, 28, 38]",14,1,77710963,Tuesday,2019-04-09
"[15, 22, 29, 31, 48]",3,0,71628330,Friday,2019-04-05
"[11, 29, 35, 38, 41]",18,0,64831133,Tuesday,2019-04-02
"[3, 6, 11, 13, 31]",13,0,58099637,Friday,2019-03-29
"[1, 8, 24, 26, 30]",2,0,51757421,Tuesday,2019-03-26
"[8, 10, 15, 34, 35]",16,0,45690775,Friday,2019-03-22
"[3, 16, 32, 33, 36]",7,0,40070446,Tuesday,2019-03-19
"[19, 36, 40, 45, 49]",5,0,35601478,Friday,2019-03-15
"[8, 27, 40, 46, 48]",18,0,29870709,Tuesday,2019-03-12
"[4, 5, 7, 11, 22]",3,0,24208356,Friday,2019-03-08
"[1, 18, 24, 48, 49]",20,0,17741429,Tuesday,2019-03-05
"[24, 29, 34, 46, 49]",15,0,12109045,Friday,2019-03-01
"[10, 20, 28, 31, 33]",12,0,5640752,Tuesday,2019-02-26
"[7, 9, 10, 11, 40]",2,1,6326736,Friday,2019-02-22
"[14, 18, 21, 26, 35]",5,1,232131751,Tuesday,2019-02-19
"[19, 20, 37, 42, 43]",17,0,212480135,Friday,2019-02-15
"[15, 16, 24, 38, 47]",13,0,192779736,Tuesday,2019-02-12
"[22, 30, 39, 41, 42]",11,0,178315452,Friday,2019-02-08
"[5, 28, 31, 35, 50]",9,0,162855404,Tuesday,2019-02-05
"[5, 13, 19, 39, 41]",3,0,150000000,Friday,2019-02-01
"[6, 7, 23, 25, 29]",5,0,122014409,Tuesday,2019-01-29
"[20, 27, 31, 40, 41]",9,0,110000000,Friday,2019-01-25
"[6, 15, 24, 41, 47]",3,0,94000000,Tuesday,2019-01-22
"[8, 23, 26, 38, 40]",9,0,88442717,Friday,2019-01-18
"[9, 13, 24, 27, 29]",20,0,79756970,Tuesday,2019-01-15
"[8, 21, 25, 29, 42]",15,0,72604385,Friday,2019-01-11
"[2, 15, 35, 44, 46]",13,0,65327021,Tuesday,2019-01-08
"[7, 9, 24, 26, 29]",1,0,59904209,Friday,2019-01-04
"[42, 44, 46, 47, 48]",11,0,53702828,Tuesday,2019-01-01
"[15, 17, 24, 28, 30]",19,0,32792589,Tuesday,2020-12-29
"[9, 12, 15, 27, 42]",14,0,26660860,Tuesday,2020-12-22
"[20, 22, 24, 28, 47]",14,0,22153805,Friday,2020-12-18
"[3, 7, 13, 34, 50]",6,0,17516395,Tuesday,2020-12-15
"[13, 18, 25, 36, 49]",19,0,13372509,Friday,2020-12-11
"[6, 16, 35, 37, 40]",2,0,8993014,Tuesday,2020-12-08
"[13, 15, 24, 30, 50]",9,0,4702791,Friday,2020-12-04
"[5, 6, 7, 8, 9]",10,1,113769364,Tuesday,2020-12-01
"[13, 29, 34, 36, 49]",18,0,107005263,Friday,2020-11-27
"[13, 15, 30, 43, 47]",18,0,100000000,Tuesday,2020-11-24
"[7, 10, 13, 22, 50]",12,0,85984620,Friday,2020-11-20
"[11, 12, 36, 37, 38]",12,0,80657669,Tuesday,2020-11-17
"[1, 11, 16, 19, 24]",19,0,75641015,Friday,2020-11-13
"[6, 23, 30, 35, 36]",14,0,69637279,Tuesday,2020-11-10
"[6, 9, 33, 40, 44]",11,0,64613781,Friday,2020-11-06
"[1, 2, 25, 36, 39]",12,0,58808203,Tuesday,2020-11-03
"[4, 27, 36, 46, 49]",16,0,53352433,Friday,2020-10-30
"[19, 25, 41, 45, 46]",12,0,47222686,Tuesday,2020-10-27
"[3, 6, 36, 41, 43]",17,0,41535111,Friday,2020-10-23
"[15, 20, 29, 32, 45]",4,0,35211812,Tuesday,2020-10-20
"[1, 7, 18, 37, 48]",13,0,29942011,Friday,2020-10-16
"[13, 15, 20, 27, 28]",7,0,23957289,Tuesday,2020-10-13
"[8, 21, 38, 41, 50]",4,0,18817066,Friday,2020-10-09
"[6, 21, 25, 29, 33]",9,0,12398969,Tuesday,2020-10-06
"[8, 10, 23, 41, 50]",9,0,6433386,Friday,2020-10-02
"[7, 12, 16, 28, 38]",13,1,121730296,Tuesday,2020-09-29
"[2, 17, 18, 27, 37]",4,0,114503215,Friday,2020-09-25
"[3, 10, 28, 31, 41]",7,0,106905907,Tuesday,2020-09-22
"[8, 19, 24, 29, 44]",8,0,100688939,Friday,2020-09-18
"[3, 18, 32, 40, 46]",7,0,93460061,Tuesday,2020-09-15
"[1, 4, 10, 12, 49]",18,0,87788003,Friday,2020-09-11
"[12, 13, 14, 36, 50]",6,0,80910024,Tuesday,2020-09-08
"[2, 3, 11, 12, 43]",13,0,75010834,Friday,2020-09-04
"[16, 21, 22, 36, 39]",5,0,68371686,Tuesday,2020-09-01
"[8, 10, 17, 44, 45]",12,0,62604837,Friday,2020-08-28
"[7, 20, 32, 34, 48]",1,0,56073369,Tuesday,2020-08-25
"[13, 32, 33, 40, 41]",1,0,50632902,Friday,2020-08-21
"[6, 22, 30, 39, 49]",2,0,44861971,Tuesday,2020-08-18
"[10, 11, 16, 25, 30]",1,0,39962090,Friday,2020-08-14
"[27, 29, 39, 40, 42]",6,0,34146335,Tuesday,2020-08-11
"[11, 30, 42, 45, 48]",12,0,29591792,Friday,2020-08-07
"[4, 28, 34, 38, 47]",16,0,23967506,Tuesday,2020-08-04
"[6, 18, 30, 46, 48]",11,0,18661639,Friday,2020-07-31
"[3, 28, 30, 38, 40]",8,0,13229291,Tuesday,2020-07-28
"[4, 6, 11, 27, 34]",10,0,8760753,Friday,2020-07-24
"[17, 20, 22, 32, 41]",3,0,3928437,Tuesday,2020-07-21
"[12, 15, 24, 30, 38]",6,1,31437679,Friday,2020-07-17
"[20, 21, 28, 48, 49]",3,0,26468816,Tuesday,2020-07-14
"[11, 16, 44, 46, 50]",1,0,22045918,Friday,2020-07-10
"[2, 7, 13, 20, 45]",18,0,14152306,Tuesday,2020-07-07
"[2, 7, 15, 25, 41]",1,0,7232687,Friday,2020-07-03
"[2, 11, 27, 36, 39]",3,1,77474036,Tuesday,2020-06-30
"[11, 20, 21, 34, 50]",7,0,70472727,Friday,2020-06-26
"[2, 7, 16, 36, 47]",18,0,63527507,Tuesday,2020-06-23
"[21, 28, 29, 33, 48]",7,0,57844583,Friday,2020-06-19
"[4, 26, 27, 29, 41]",15,0,52197283,Tuesday,2020-06-16
"[9, 27, 38, 43, 48]",15,0,46976854,Friday,2020-06-12
"[5, 37, 43, 49, 50]",3,0,41082669,Tuesday,2020-06-09
"[14, 23, 28, 40, 48]",3,0,35914665,Friday,2020-06-05
"[5, 15, 29, 41, 46]",14,0,30872007,Tuesday,2020-06-02
"[4, 27, 30, 34, 45]",20,0,26938677,Friday,2020-05-29
"[15, 25, 34, 39, 42]",4,0,23662985,Tuesday,2020-05-26
"[9, 10, 24, 41, 45]",15,0,20642430,Friday,2020-05-22
"[9, 15, 19, 36, 44]",10,0,17435468,Tuesday,2020-05-19
"[5, 7, 13, 19, 47]",4,0,14772886,Friday,2020-05-15
"[6, 22, 34, 44, 45]",11,0,11805096,Tuesday,2020-05-12
"[12, 21, 30, 35, 45]",18,0,9088382,Friday,2020-05-08
"[6, 22, 41, 46, 49]",3,0,6012002,Tuesday,2020-05-05
"[12, 20, 43, 48, 49]",6,0,3226164,Friday,2020-05-01
"[6, 12, 32, 36, 45]",4,1,135366753,Tuesday,2020-04-28
"[10, 12, 22, 42, 50]",18,0,131289991,Friday,2020-04-24
"[8, 13, 21, 46, 50]",13,0,123616406,Tuesday,2020-04-21
"[16, 19, 20, 23, 25]",10,0,117170215,Friday,2020-04-17
"[6, 11, 25, 31, 46]",9,0,110401244,Tuesday,2020-04-14
"[7, 14, 22, 24, 41]",16,0,104603906,Friday,2020-04-10
"[4, 13, 32, 34, 42]",9,0,98845530,Tuesday,2020-04-07
"[9, 10, 29, 32, 45]",9,0,92834854,Friday,2020-04-03
"[14, 20, 28, 43, 49]",5,0,86964111,Tuesday,2020-03-31
"[3, 8, 18, 38, 45]",3,0,81745765,Friday,2020-03-27
"[4, 12, 41, 45, 46]",5,0,77090003,Tuesday,2020-03-24
"[4, 9, 16, 21, 36]",14,0,71756708,Friday,2020-03-20
"[16, 29, 34, 38, 49]",14,0,65291063,Tuesday,2020-03-17
"[5, 6, 12, 22, 50]",11,0,59612516,Friday,2020-03-13
"[6, 8, 24, 25, 50]",10,0,53201812,Tuesday,2020-03-10
"[6, 23, 26, 28, 47]",6,0,47477402,Friday,2020-03-06
"[11, 17, 18, 27, 44]",8,0,40997297,Tuesday,2020-03-03
"[1, 31, 37, 49, 50]",2,0,35520864,Friday,2020-02-28
"[4, 10, 17, 26, 31]",11,0,29378132,Tuesday,2020-02-25
"[4, 18, 30, 34, 36]",20,0,24597109,Friday,2020-02-21
"[14, 17, 20, 36, 49]",2,0,19808331,Tuesday,2020-02-18
"[2, 19, 40, 49, 50]",6,0,15379751,Friday,2020-02-14
"[9, 22, 40, 43, 46]",1,0,10172065,Tuesday,2020-02-11
"[2, 4, 29, 38, 47]",1,0,5419504,Friday,2020-02-07
"[3, 15, 23, 37, 45]",18,1,114580903,Tuesday,2020-02-04
"[11, 14, 18, 29, 34]",15,0,104849661,Friday,2020-01-31
"[14, 18, 31, 36, 49]",9,0,94384334,Tuesday,2020-01-28
"[5, 11, 26, 48, 49]",12,0,87062324,Friday,2020-01-24
"[14, 18, 32, 42, 49]",17,0,80348245,Tuesday,2020-01-21
"[7, 8, 18, 26, 31]",16,0,74907826,Friday,2020-01-17
"[9, 10, 11, 32, 43]",15,0,68822299,Tuesday,2020-01-14
"[23, 25, 28, 30, 40]",13,0,63994603,Friday,2020-01-10
"[4, 8, 18, 35, 49]",10,0,59101163,Tuesday,2020-01-07
"[8, 9, 18, 43, 50]",12,0,54561400,Friday,2020-01-03
"[2, 13, 20, 42, 47]",3,0,22270824,Tuesday,2021-10-05
"[24, 25, 38, 40, 49]",2,0,17575482,Friday,2021-10-01
"[13, 15, 20, 28, 29]",15,0,12443950,Tuesday,2021-09-28
"[14, 17, 24, 31, 43]",15,0,8075876,Friday,2021-09-24
"[18, 26, 41, 44, 47]",4,0,3958419,Tuesday,2021-09-21
"[8, 10, 17, 26, 39]",14,1,86547728,Friday,2021-09-17
"[16, 18, 23, 31, 35]",10,0,79338337,Tuesday,2021-09-14
"[8, 12, 17, 28, 43]",13,0,72915118,Friday,2021-09-10
"[2, 11, 13, 19, 40]",2,0,66280966,Tuesday,2021-09-07
"[2, 9, 18, 42, 43]",8,0,60000000,Friday,2021-09-03
"[9, 10, 35, 42, 48]",20,0,51785957,Tuesday,2021-08-31
"[6, 10, 11, 45, 47]",13,0,45844881,Friday,2021-08-27
"[21, 23, 34, 35, 41]",9,0,39847242,Tuesday,2021-08-24
"[6, 21, 33, 37, 50]",18,0,35159233,Friday,2021-08-20
"[10, 18, 23, 30, 48]",1,0,30029577,Tuesday,2021-08-17
"[5, 23, 41, 42, 50]",2,0,25238767,Friday,2021-08-13
"[1, 4, 12, 13, 33]",6,0,19864681,Tuesday,2021-08-10
"[7, 13, 18, 20, 25]",6,0,15601539,Friday,2021-08-06
"[8, 16, 18, 30, 34]",4,0,10414763,Tuesday,2021-08-03
"[4, 12, 27, 35, 50]",1,0,5463175,Friday,2021-07-30
"[5, 12, 15, 28, 29]",14,1,158035648,Tuesday,2021-07-27
"[21, 45, 47, 48, 49]",18,0,148159783,Friday,2021-07-23
"[7, 32, 33, 40, 42]",6,0,137361125,Tuesday,2021-07-20
"[20, 22, 25, 41, 45]",5,0,129127994,Friday,2021-07-16
"[2, 28, 29, 38, 42]",2,0,121555454,Tuesday,2021-07-13
"[3, 12, 29, 31, 38]",15,0,115159575,Friday,2021-07-09
"[1, 16, 18, 26, 39]",8,0,105560884,Tuesday,2021-07-06
"[20, 30, 34, 38, 43]",7,0,97514490,Friday,2021-07-02
"[6, 35, 41, 43, 45]",4,0,89144686,Tuesday,2021-06-29
"[4, 16, 34, 36, 46]",6,0,82148925,Friday,2021-06-25
"[3, 11, 24, 33, 41]",16,0,75000000,Tuesday,2021-06-22
"[3, 8, 19, 28, 49]",11,0,66396398,Friday,2021-06-18
"[13, 23, 24, 27, 44]",10,0,60708344,Tuesday,2021-06-15
"[9, 12, 27, 37, 48]",7,0,55368808,Friday,2021-06-11
"[1, 3, 17, 28, 50]",7,0,49963904,Tuesday,2021-06-08
"[17, 34, 37, 39, 44]",10,0,45049638,Friday,2021-06-04
"[3, 5, 23, 37, 42]",11,0,39634655,Tuesday,2021-06-01
"[31, 33, 36, 38, 44]",4,0,34608237,Friday,2021-05-28
"[3, 4, 8, 25, 44]",15,0,29279195,Tuesday,2021-05-25
"[19, 21, 24, 45, 50]",5,0,24582070,Friday,2021-05-21
"[4, 11, 30, 35, 45]",12,0,19896006,Tuesday,2021-05-18
"[3, 16, 28, 31, 48]",11,0,15727031,Friday,2021-05-14
"[4, 10, 17, 29, 38]",20,0,10873181,Tuesday,2021-05-11
"[4, 7, 19, 20, 49]",19,0,6007981,Friday,2021-05-07
"[3, 9, 17, 25, 39]",13,1,112706601,Tuesday,2021-05-04
"[6, 12, 22, 38, 45]",4,0,105001771,Friday,2021-04-30
"[1, 8, 22, 29, 49]",18,0,96486995,Tuesday,2021-04-27
"[5, 14, 19, 30, 35]",12,0,90353824,Friday,2021-04-23
"[3, 5, 12, 32, 49]",19,0,83423379,Tuesday,2021-04-20
"[2, 5, 12, 25, 49]",20,0,77486741,Friday,2021-04-16
"[6, 8, 22, 31, 42]",15,0,71123084,Tuesday,2021-04-13
"[18, 31, 39, 45, 46]",17,0,65662602,Friday,2021-04-09
"[3, 13, 21, 42, 45]",8,0,59521782,Tuesday,2021-04-06
"[4, 8, 15, 25, 26]",17,0,54899302,Friday,2021-04-02
"[7, 16, 24, 25, 38]",9,0,50000000,Tuesday,2021-03-30
"[5, 25, 27, 42, 47]",15,0,33325997,Friday,2021-03-26
"[7, 9, 10, 18, 34]",16,0,27875790,Tuesday,2021-03-23
"[5, 16, 27, 32, 46]",18,0,24062975,Friday,2021-03-19
"[11, 20, 21, 32, 36]",18,0,19172205,Tuesday,2021-03-16
"[7, 15, 29, 34, 39]",2,0,14691308,Friday,2021-03-12
"[28, 30, 36, 37, 41]",7,0,10031371,Tuesday,2021-03-09
"[6, 15, 39, 40, 48]",17,0,5922879,Friday,2021-03-05
"[1, 11, 21, 32, 42]",11,1,51578672,Tuesday,2021-03-02
"[1, 3, 7, 41, 44]",11,0,45598659,Friday,2021-02-26
"[8, 13, 25, 32, 42]",16,0,39537289,Tuesday,2021-02-23
"[3, 17, 20, 25, 47]",3,0,34983642,Friday,2021-02-19
"[5, 18, 31, 36, 45]",8,0,29887306,Tuesday,2021-02-16
"[3, 15, 35, 39, 41]",5,0,25153146,Friday,2021-02-12
"[4, 7, 15, 30, 32]",10,0,20130254,Tuesday,2021-02-09
"[8, 16, 19, 20, 50]",18,0,15513359,Friday,2021-02-05
"[6, 13, 22, 34, 49]",10,0,10291251,Tuesday,2021-02-02
"[2, 11, 16, 22, 47]",19,0,5457085,Friday,2021-01-29
"[4, 8, 12, 15, 19]",17,1,13456151,Tuesday,2021-01-26
"[11, 14, 36, 37, 44]",19,0,8561701,Friday,2021-01-22
"[13, 16, 28, 42, 45]",11,0,3888746,Tuesday,2021-01-19
"[24, 31, 40, 45, 48]",20,1,60421873,Friday,2021-01-15
"[11, 13, 28, 36, 37]",15,0,54906108,Tuesday,2021-01-12
"[11, 16, 28, 32, 41]",6,0,50000000,Friday,2021-01-08
"[4, 17, 42, 46, 48]",14,0,41353227,Tuesday,2021-01-05
"[1, 7, 24, 30, 44]",1,0,36464366,Friday,2021-01-01
